// secnum stands for sector number. It defines total number of sectors in the map.
secnum 20

// wallnum stands for wall number. It defines total number of wals in the map.
wallnum 84
// pstart stands for player start. It defines where player will be spawn in the level.
// pstart X Y Z angle start_sector
pstart 0 0 0 0 0

// s stands for sector. It defines one sector. Format:
//s start_wall_index wall_number floor_height ceiling_height
s 0 8 -273.067 273.067
s 8 4 -273.067 273.067
s 12 4 -273.067 273.067
s 16 4 -273.067 273.067
s 20 4 -273.067 273.067
s 24 4 -273.067 273.067
s 28 4 -273.067 273.067
s 32 4 -273.067 273.067
s 36 4 -273.067 273.067
s 40 4 -273.067 273.067
s 44 4 -273.067 273.067
s 48 4 -273.067 273.067
s 52 4 -273.067 273.067
s 56 4 -273.067 273.067
s 60 4 -273.067 273.067
s 64 4 -273.067 273.067
s 68 4 -273.067 273.067
s 72 4 -273.067 273.067
s 76 4 -273.067 273.067
s 80 4 -273.067 273.067

// w stands for wall. It defines one wall. Format:
//w point_x point_y second_wall_point next_sector(in case if portal > -1)
w 119.467 -59.7333 1 -1
w 119.467 -21.3333 2 3
w 119.467 8.53333 3 -1
w 119.467 55.4667 4 -1
w -42.6667 55.4667 5 -1
w -42.6667 8.53333 6 4
w -42.6667 -21.3333 7 -1
w -42.6667 -59.7333 0 -1
w -85.3333 -89.6 9 14
w -123.733 -89.6 10 -1
w -123.733 -123.733 11 -1
w -85.3333 -123.733 8 19
w 204.8 -89.6 13 15
w 166.4 -89.6 14 17
w 166.4 -123.733 15 -1
w 204.8 -123.733 12 -1
w 166.4 -21.3333 17 16
w 166.4 8.53333 18 -1
w 119.467 8.53333 19 0
w 119.467 -21.3333 16 -1
w -85.3333 8.53333 21 13
w -85.3333 -21.3333 22 -1
w -42.6667 -21.3333 23 0
w -42.6667 8.53333 20 -1
w 166.4 119.467 25 9
w 166.4 89.6 26 6
w 204.8 89.6 27 -1
w 204.8 119.467 24 -1
w 166.4 89.6 29 -1
w 166.4 8.53333 30 16
w 204.8 8.53333 31 -1
w 204.8 89.6 28 5
w 12.8 89.6 33 -1
w 12.8 -89.6 34 18
w 76.8 -89.6 35 -1
w 76.8 89.6 32 8
w 76.8 89.6 37 9
w 76.8 119.467 38 -1
w 12.8 119.467 39 10
w 12.8 89.6 36 7
w 76.8 119.467 41 8
w 76.8 89.6 42 -1
w 166.4 89.6 43 5
w 166.4 119.467 40 -1
w -85.3333 119.467 45 12
w -85.3333 89.6 46 -1
w 12.8 89.6 47 8
w 12.8 119.467 44 -1
w -85.3333 8.53333 49 -1
w -85.3333 89.6 50 12
w -123.733 89.6 51 -1
w -123.733 8.53333 48 13
w -85.3333 89.6 53 10
w -85.3333 119.467 54 -1
w -123.733 119.467 55 -1
w -123.733 89.6 52 11
w -123.733 -21.3333 57 14
w -85.3333 -21.3333 58 4
w -85.3333 8.53333 59 11
w -123.733 8.53333 56 -1
w -85.3333 -21.3333 61 13
w -123.733 -21.3333 62 -1
w -123.733 -89.6 63 1
w -85.3333 -89.6 60 -1
w 204.8 -21.3333 65 16
w 166.4 -21.3333 66 -1
w 166.4 -89.6 67 2
w 204.8 -89.6 64 -1
w 166.4 -21.3333 69 15
w 204.8 -21.3333 70 -1
w 204.8 8.53333 71 6
w 166.4 8.53333 68 3
w 76.8 -89.6 73 18
w 76.8 -123.733 74 -1
w 166.4 -123.733 75 2
w 166.4 -89.6 72 -1
w 12.8 -89.6 77 19
w 12.8 -123.733 78 -1
w 76.8 -123.733 79 17
w 76.8 -89.6 76 7
w 12.8 -123.733 81 18
w 12.8 -89.6 82 -1
w -85.3333 -89.6 83 1
w -85.3333 -123.733 80 -1
